-------------------------------------------------------------------+--------------------+--------------------------+
| id   | name                                                              | city               | country                  |
| 2207 | Alama Iqbal International Airport                                 | Lahore             | Pakistan                 |
|  156 | Vancouver International Airport                                   | Vancouver          | Canada                   |
| 1638 | Humberto Delgado Airport (Lisbon Portela Airport)                 | Lisbon             | Portugal                 |
| 1636 | Francisco de Sá Carneiro Airport                                  | Porto              | Portugal                 |
| 1633 | João Paulo II Airport                                             | Ponta Delgada      | Portugal                 |
|  609 | Copenhagen Kastrup Airport                                        | Copenhagen         | Denmark                  |
| 2985 | Sheremetyevo International Airport                                | Moscow             | Russia                   |
| 2072 | King Abdulaziz International Airport                              | Jeddah             | Saudi Arabia             |
| 3682 | Hartsfield Jackson Atlanta International Airport                  | Atlanta            | United States            |
| 1701 | Atatürk International Airport                                     | Istanbul           | Turkey                   |
| 1638 | Humberto Delgado Airport (Lisbon Portela Airport)                 | Lisbon             | Portugal                 |
| 1636 | Francisco de Sá Carneiro Airport                                  | Porto              | Portugal                 |
| 1633 | João Paulo II Airport                                             | Ponta Delgada      | Portugal                 |
|  580 | Amsterdam Airport Schiphol                                        | Amsterdam          | Netherlands              |
| 3941 | Eleftherios Venizelos International Airport                       | Athens             | Greece                   |
| 1218 | Barcelona International Airport                                   | Barcelona          | Spain                    |
| 1382 | Charles de Gaulle International Airport                           | Paris              | France                   |
| 1852 | Cancún International Airport                                      | Cancun             | Mexico                   |
|  599 | Dublin Airport                                                    | Dublin             | Ireland                  |
| 1555 | Leonardo da Vinci–Fiumicino Airport                               | Rome               | Italy                    |
| 3533 | Fort Lauderdale Hollywood International Airport                   | Fort Lauderdale    | United States            |
|  534 | Glasgow International Airport                                     | Glasgow            | United Kingdom           |
| 1910 | Frank Pais International Airport                                  | Holguin            | Cuba                     |
|  502 | London Gatwick Airport                                            | London             | United Kingdom           |
| 1638 | Humberto Delgado Airport (Lisbon Portela Airport)                 | Lisbon             | Portugal                 |
|  478 | Manchester Airport                                                | Manchester         | United Kingdom           |
| 1780 | Sangster International Airport                                    | Montego Bay        | Jamaica                  |
| 3878 | Orlando International Airport                                     | Orlando            | United States            |
| 1636 | Francisco de Sá Carneiro Airport                                  | Porto              | Portugal                 |
| 1760 | Punta Cana International Airport                                  | Punta Cana         | Dominican Republic       |
| 1918 | Abel Santamaria Airport                                           | Santa Clara        | Cuba                     |
| 1551 | Venice Marco Polo Airport                                         | Venice             | Italy                    |
| 1923 | Juan Gualberto Gomez International Airport                        | Varadero           | Cuba                     |
|  111 | Quebec Jean Lesage International Airport                          | Quebec             | Canada                   |
|  146 | Montreal / Pierre Elliott Trudeau International Airport           | Montreal           | Canada                   |
| 3682 | Hartsfield Jackson Atlanta International Airport                  | Atlanta            | United States            |
| 3825 | Bradley International Airport                                     | Windsor Locks      | United States            |
| 3448 | General Edward Lawrence Logan International Airport               | Boston             | United States            |
